#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-38C0CE71DCC7EEA3-36894F96905DCF6A
#datatype	hits Concise data(Superfamily only)
#status	0
#Start time	2012-05-24T16:59:24	Run time	0:12:57:43
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#21 - >WHL22.165444.1	superfamily	209398	372	429	5.25389e-10	57.8843	cl11960	Ig superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	209398	265	348	6.4069e-10	57.7946	cl11960	Ig superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	206813	970	1066	3.51978e-09	56.1028	cl00065	FN3 superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	206813	1183	1279	6.24155e-09	55.3324	cl00065	FN3 superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	206813	544	639	2.64482e-07	50.3248	cl00065	FN3 superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	206813	757	852	3.3218e-07	49.9396	cl00065	FN3 superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	209398	456	540	2.28635e-08	53.2754	cl11960	Ig superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	206813	863	958	6.44225e-05	43.006	cl00065	FN3 superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	209398	61	129	0.000147717	41.7495	cl11960	Ig superfamily	C	 - 
Q#21 - >WHL22.165444.1	superfamily	209398	1	40	0.000217126	41.277	cl11960	Ig superfamily	N	 - 
Q#21 - >WHL22.165444.1	superfamily	206813	1076	1171	0.000245912	41.08	cl00065	FN3 superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	206813	1289	1383	0.00298516	37.6132	cl00065	FN3 superfamily	 - 	 - 
Q#23 - >WHL22.104606.0	superfamily	206825	60	125	2.4994e-28	105.723	cl00082	HMG-box superfamily	 - 	 - 
Q#23 - >WHL22.104606.0	superfamily	152771	145	213	9.9942e-26	98.8305	cl13733	SOXp superfamily	 - 	 - 
Q#24 - >WHL22.204314.0	superfamily	201040	109	197	6.04855e-24	93.4717	cl02813	Mito_carr superfamily	 - 	 - 
Q#24 - >WHL22.204314.0	superfamily	201040	3	95	2.32206e-23	91.9309	cl02813	Mito_carr superfamily	 - 	 - 
Q#24 - >WHL22.204314.0	superfamily	201040	204	294	2.51475e-19	80.3749	cl02813	Mito_carr superfamily	 - 	 - 
Q#26 - >WHL22.342173.0	superfamily	207629	1	113	3.75616e-34	122.41	cl02525	Band_7 superfamily	N	 - 
Q#27 - >WHL22.454981.0	superfamily	212311	131	225	3.41335e-55	179.593	cl11394	Glyco_tranf_GTA_type superfamily	C	 - 
Q#28 - >WHL22.438655.0	superfamily	206782	1	265	4.32295e-178	501.646	cl00013	Lyase_I_like superfamily	N	 - 
Q#29 - >WHL22.635158.0	superfamily	117091	129	173	1.1295e-14	66.6118	cl11719	STAG superfamily	C	 - 
Q#29 - >WHL22.635158.0	superfamily	212302	69	130	0.00515269	34.6228	cl09931	NADB_Rossmann superfamily	NC	 - 
Q#31 - >WHL22.150227.0	superfamily	209363	106	157	7.09246e-15	68.7965	cl11596	Ion_trans_2 superfamily	N	 - 
Q#31 - >WHL22.150227.0	superfamily	209363	272	335	2.48058e-08	50.3069	cl11596	Ion_trans_2 superfamily	 - 	 - 
Q#32 - >WHL22.674640.0	superfamily	207634	39	87	4.95515e-06	42.8786	cl02535	F-box superfamily	 - 	 - 
Q#32 - >WHL22.674640.0	superfamily	199166	150	201	0.00267722	36.9216	cl15308	AMN1 superfamily	C	 - 
Q#34 - >WHL22.268987.5	superfamily	206804	144	198	2.80736e-25	95.6526	cl00053	PTPc superfamily	 - 	 - 
Q#35 - >WHL22.159978.0	superfamily	207631	35	161	6.05443e-18	75.5035	cl02529	ANK superfamily	 - 	 - 
Q#36 - >WHL22.544974.0	superfamily	206982	63	196	1.15822e-28	107.974	cl00319	Gn_AT_II superfamily	C	 - 
Q#37 - >WHL22.674907.0	superfamily	175378	28	454	0	565.735	cl11970	PriL superfamily	 - 	 - 
Q#38 - >WHL22.163286.4	superfamily	212314	22	159	1.23423e-10	58.4793	cl11420	MFS superfamily	N	 - 
Q#39 - >WHL22.742384.6	superfamily	209154	187	336	1.96315e-27	105.373	cl10505	CBF superfamily	 - 	 - 
Q#40 - >WHL22.582106.0	superfamily	198779	2	87	1.59846e-12	64.3382	cl02739	THAP superfamily	 - 	 - 
Q#41 - >WHL22.145138.0	superfamily	212291	49	202	1.19269e-73	224.687	cl09099	P-loop_NTPase superfamily	C	 - 
Q#42 - >WHL22.128637.0	superfamily	207615	160	320	4.43325e-38	135.898	cl02495	RabGAP-TBC superfamily	C	 - 
Q#43 - >WHL22.369954.0	superfamily	212363	6	144	6.62132e-41	135.155	cl14603	C2 superfamily	 - 	 - 
Q#44 - >WHL22.713749.0	superfamily	211470	101	272	1.9738e-27	104.721	cl15787	SEC14 superfamily	 - 	 - 
Q#44 - >WHL22.713749.0	superfamily	211515	39	81	1.93338e-11	57.5618	cl16919	CRAL_TRIO_N superfamily	 - 	 - 
Q#45 - >WHL22.705307.3	superfamily	207066	27	130	1.74489e-24	93.7548	cl00474	PAP2_like superfamily	N	 - 
Q#46 - >WHL22.595519.0	superfamily	212209	30	127	1.49529e-35	121.52	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#46 - >WHL22.595519.0	superfamily	212209	135	161	0.00521279	33.7771	cl00388	Thioredoxin_like superfamily	C	 - 
Q#48 - >WHL22.715983.1	superfamily	111397	28	108	1.23112e-13	61.9734	cl03620	HYR superfamily	 - 	 - 
Q#49 - >WHL22.96016.0	superfamily	212314	35	206	5.75915e-16	75.4281	cl11420	MFS superfamily	N	 - 
Q#50 - >WHL22.503385.0	superfamily	211462	1	359	1.92968e-72	237.52	cl12031	Esterase_lipase superfamily	N	 - 
Q#51 - >WHL22.310082.2	superfamily	206840	178	212	4.86724e-06	42.5064	cl00104	LDLa superfamily	 - 	 - 
Q#51 - >WHL22.310082.2	superfamily	206840	46	83	1.36889e-06	43.8237	cl00104	LDLa superfamily	 - 	 - 
Q#51 - >WHL22.310082.2	superfamily	206840	86	122	1.84928e-06	43.4385	cl00104	LDLa superfamily	 - 	 - 
Q#51 - >WHL22.310082.2	superfamily	206840	5	42	3.52373e-06	42.6682	cl00104	LDLa superfamily	 - 	 - 
Q#51 - >WHL22.310082.2	superfamily	206840	229	261	0.000937654	35.7346	cl00104	LDLa superfamily	 - 	 - 
Q#51 - >WHL22.310082.2	superfamily	206840	135	167	0.00632481	33.3757	cl00104	LDLa superfamily	 - 	 - 
Q#52 - >WHL22.695251.0	superfamily	207617	351	445	1.36757e-17	79.3463	cl02507	SEA superfamily	 - 	 - 
Q#52 - >WHL22.695251.0	superfamily	209104	462	493	0.00230325	36.4575	cl09941	EGF_CA superfamily	C	 - 
Q#53 - >WHL22.180573.3	superfamily	206862	111	163	2.09214e-15	69.9655	cl00149	Tryp_SPc superfamily	C	 - 
Q#53 - >WHL22.180573.3	superfamily	206808	16	83	2.2005e-07	47.6057	cl00057	vWFA superfamily	NC	 - 
Q#54 - >WHL22.90369.0	superfamily	206825	251	292	0.000174252	39.1312	cl00082	HMG-box superfamily	C	 - 
Q#56 - >WHL22.532857.0	superfamily	212302	43	285	4.96926e-123	355.397	cl09931	NADB_Rossmann superfamily	 - 	 - 
Q#59 - >WHL22.25641.0	superfamily	145898	2	431	1.46545e-163	475.649	cl09289	EMP70 superfamily	 - 	 - 
Q#60 - >WHL22.17516.0	superfamily	209448	51	135	8.335e-06	40.4081	cl12111	TNFR superfamily	C	 - 
Q#61 - >WHL22.763956.0	superfamily	206885	3666	3872	2.54554e-32	129.226	cl00186	nidG2 superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2281	2370	1.33748e-17	82.2873	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	3030	3111	2.91845e-14	72.4277	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	630	714	1.01577e-13	70.7068	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	3311	3380	4.51483e-13	68.2021	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1282	1350	1.24689e-12	67.1291	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2216	2268	4.72602e-12	65.8793	cl11960	Ig superfamily	N	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1374	1441	1.08305e-11	64.4327	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	554	620	1.15417e-11	64.4327	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2020	2081	1.26349e-11	64.3878	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1929	1989	1.36332e-11	64.4327	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	3211	3286	2.52089e-11	63.5681	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	914	988	3.47961e-11	63.1829	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1190	1261	3.69978e-11	62.9451	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1460	1535	4.48247e-11	62.7872	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1648	1713	6.55304e-11	62.1215	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2861	2920	9.21654e-11	61.8144	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	465	525	4.89105e-10	59.8103	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2677	2739	6.55138e-10	59.4251	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2396	2461	7.94419e-10	59.0399	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	830	892	1.08651e-09	58.6547	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2585	2651	1.20358e-09	58.6547	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1743	1813	1.27058e-09	58.2695	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1097	1163	1.32269e-09	58.55	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2951	3013	1.65569e-09	58.2695	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1009	1076	3.41661e-09	57.1139	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	3119	3190	5.07506e-09	57.1018	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1549	1626	5.45233e-09	56.8642	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2475	2548	7.0718e-09	56.6345	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	1838	1902	1.34995e-08	55.5731	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2767	2831	9.1385e-08	52.8318	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	740	799	2.38396e-07	52.0016	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209104	4175	4206	3.59379e-07	50.6547	cl09941	EGF_CA superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	2123	2186	4.83517e-07	50.9058	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	374	441	1.98277e-06	49.0247	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209398	280	352	2.82014e-06	48.775	cl11960	Ig superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209104	4026	4060	3.48487e-06	47.5731	cl09941	EGF_CA superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209104	4069	4108	4.30512e-06	47.1879	cl09941	EGF_CA superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	199489	3443	3495	3.48577e-17	79.9411	cl15278	TSP_1 superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	199489	3612	3663	4.91796e-15	73.7779	cl15278	TSP_1 superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	199489	3386	3438	2.1665e-14	71.8519	cl15278	TSP_1 superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	199489	3555	3606	1.27451e-13	69.5407	cl15278	TSP_1 superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209104	3986	4025	1.25604e-06	48.7839	cl09941	EGF_CA superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209104	3941	3984	2.38556e-06	48.1115	cl09941	EGF_CA superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209104	3900	3940	3.08454e-05	44.9319	cl09941	EGF_CA superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	199489	3500	3550	0.000167217	42.962	cl15278	TSP_1 superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209104	4110	4148	0.000226427	42.2355	cl09941	EGF_CA superfamily	 - 	 - 
Q#61 - >WHL22.763956.0	superfamily	209104	4215	4254	0.00130449	39.9243	cl09941	EGF_CA superfamily	 - 	 - 
Q#62 - >WHL22.665011.0	superfamily	206813	901	987	2.90956e-05	43.7555	cl00065	FN3 superfamily	 - 	 - 
Q#62 - >WHL22.665011.0	superfamily	206813	825	880	0.000486672	39.9035	cl00065	FN3 superfamily	 - 	 - 
Q#65 - >WHL22.642319.1	superfamily	206861	2	427	4.85189e-112	352.169	cl00148	TOP4c superfamily	 - 	 - 
Q#66 - >WHL22.74099.1	superfamily	212209	1	72	1.90105e-26	101.842	cl00388	Thioredoxin_like superfamily	N	 - 
Q#70 - >WHL22.507952.1	superfamily	212291	116	343	4.12673e-103	306.853	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#70 - >WHL22.507952.1	superfamily	203196	1	46	3.61659e-06	44.5166	cl14937	MutS_IV superfamily	N	 - 
Q#73 - >WHL22.635333.0	superfamily	201750	460	646	1.30989e-62	214.495	cl03182	RYDR_ITPR superfamily	 - 	 - 
Q#73 - >WHL22.635333.0	superfamily	201750	1231	1409	3.59304e-55	192.924	cl03182	RYDR_ITPR superfamily	 - 	 - 
Q#73 - >WHL22.635333.0	superfamily	197746	294	322	0.000609427	40.0171	cl02624	MIR superfamily	C	 - 
Q#73 - >WHL22.635333.0	superfamily	197746	231	287	0.00473204	37.3207	cl02624	MIR superfamily	 - 	 - 
Q#73 - >WHL22.635333.0	superfamily	197746	112	166	0.00566459	36.9355	cl02624	MIR superfamily	 - 	 - 
Q#73 - >WHL22.635333.0	superfamily	197746	173	223	0.00830237	36.5503	cl02624	MIR superfamily	 - 	 - 
Q#75 - >WHL22.75882.0	superfamily	209104	17	55	3.19003e-09	54.8919	cl09941	EGF_CA superfamily	 - 	 - 
Q#76 - >WHL22.102285.0	superfamily	212220	249	841	0	681.154	cl00456	SLC5-6-like_sbd superfamily	 - 	 - 
Q#77 - >WHL22.694887.0	superfamily	176598	113	233	1.51697e-49	161.967	cl02781	tetraspanin_LEL superfamily	 - 	 - 
Q#79 - >WHL22.701794.0	superfamily	203202	430	567	1.53532e-49	169.464	cl08434	GMC_oxred_C superfamily	 - 	 - 
Q#79 - >WHL22.701794.0	superfamily	212302	47	88	0.00160631	39.5961	cl09931	NADB_Rossmann superfamily	C	 - 
Q#80 - >WHL22.630296.0	superfamily	206827	261	300	4.33922e-16	72.2978	cl00084	homeodomain superfamily	 - 	 - 
Q#82 - >WHL22.680927.0	superfamily	207647	60	138	2.60798e-11	57.1156	cl02566	SET superfamily	N	 - 
Q#83 - >WHL22.418652.1	superfamily	207648	26	195	0.0037496	39.9784	cl02567	WD40 superfamily	NC	 - 
Q#84 - >WHL22.701564.0	superfamily	206827	556	613	4.03732e-14	68.0606	cl00084	homeodomain superfamily	 - 	 - 
Q#84 - >WHL22.701564.0	superfamily	198730	461	534	2.70324e-32	119.851	cl02582	Pou superfamily	 - 	 - 
Q#86 - >WHL22.612237.1	superfamily	207702	52	102	3.85639e-09	49.9786	cl02701	Kelch_3 superfamily	 - 	 - 
Q#86 - >WHL22.612237.1	superfamily	207702	90	121	1.73148e-06	42.9758	cl02701	Kelch_3 superfamily	C	 - 
Q#86 - >WHL22.612237.1	superfamily	207702	147	186	6.6226e-05	38.7386	cl02701	Kelch_3 superfamily	 - 	 - 
Q#87 - >WHL22.547320.0	superfamily	210101	410	659	2.16018e-06	49.5492	cl15415	Sec1 superfamily	N	 - 
Q#90 - >WHL22.135533.0	superfamily	207208	1	239	6.43961e-176	497.879	cl00817	MM_CoA_mutase superfamily	NC	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	740	835	8.26087e-29	113.948	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	946	1042	1.8708e-25	104.318	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1052	1148	4.9925e-25	103.162	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1578	1670	6.38015e-24	99.6953	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	2301	2399	2.0381e-23	98.5397	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1781	1886	2.47961e-23	98.1545	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	162	261	5.65272e-23	96.9989	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	843	938	5.72787e-21	91.2209	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1156	1245	1.4377e-20	90.0653	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1375	1464	9.44337e-20	87.7541	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1683	1773	1.36236e-19	87.3689	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1473	1570	7.73787e-19	85.0577	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	2097	2188	2.28801e-17	80.8205	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	2201	2292	8.60027e-17	79.2797	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1997	2089	2.47088e-16	77.7389	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	487	577	8.30986e-15	73.5017	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1265	1356	2.4076e-11	63.1013	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	1907	1982	2.30937e-10	60.4049	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	380	471	6.22494e-09	56.1678	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	272	366	8.15318e-07	49.6194	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	38	152	1.89787e-06	48.4638	cl15786	CA_like superfamily	 - 	 - 
Q#91 - >WHL22.703976.2	superfamily	211469	595	658	1.02884e-05	46.1526	cl15786	CA_like superfamily	C	 - 
Q#92 - >WHL22.537567.2	superfamily	212389	92	141	0.00133385	35.7702	cl16911	AdoMet_MTases superfamily	C	 - 
Q#93 - >WHL22.140607.1	superfamily	199167	5	161	7.96443e-05	43.346	cl15309	LRR_RI superfamily	N	 - 
Q#94 - >WHL22.485267.1	superfamily	198981	15	448	0	922.459	cl10017	Tubulin_FtsZ superfamily	 - 	 - 
Q#95 - >WHL22.578679.0	superfamily	212188	71	218	1.24395e-23	95.3709	cl00316	Cation_efflux superfamily	N	 - 
Q#96 - >WHL22.204028.1	superfamily	212291	28	196	2.41026e-100	291.094	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#98 - >WHL22.270900.0	superfamily	212220	1	290	1.09089e-155	448.937	cl00456	SLC5-6-like_sbd superfamily	N	 - 
Q#99 - >WHL22.221600.4	superfamily	207615	56	154	1.91006e-22	89.2888	cl02495	RabGAP-TBC superfamily	C	 - 
Q#100 - >WHL22.12415.0	superfamily	206862	2	159	3.66568e-51	171.273	cl00149	Tryp_SPc superfamily	N	 - 
Q#100 - >WHL22.12415.0	superfamily	198480	175	281	9.32693e-16	72.0174	cl00049	CUB superfamily	 - 	 - 
Q#100 - >WHL22.12415.0	superfamily	198480	293	336	0.007134	34.653	cl00049	CUB superfamily	C	 - 
Q#101 - >WHL22.673796.0	superfamily	209306	1	64	3.00809e-21	87.0747	cl11404	Biotinyl_lipoyl_domains superfamily	 - 	 - 
Q#101 - >WHL22.673796.0	superfamily	207515	217	423	1.18959e-61	200.471	cl02008	2-oxoacid_dh superfamily	 - 	 - 
Q#101 - >WHL22.673796.0	superfamily	202412	141	179	5.61989e-15	68.988	cl03729	E3_binding superfamily	 - 	 - 
Q#102 - >WHL22.520895.0	superfamily	206802	30	128	1.38201e-13	67.6848	cl00050	CYCLIN superfamily	 - 	 - 
Q#102 - >WHL22.520895.0	superfamily	206802	139	197	0.000404643	39.5652	cl00050	CYCLIN superfamily	C	 - 
Q#103 - >WHL22.514883.1	superfamily	210172	68	272	8.38806e-17	79.6508	cl15772	ACCA superfamily	 - 	 - 
Q#103 - >WHL22.514883.1	superfamily	210172	265	442	7.39492e-09	55.9684	cl15772	ACCA superfamily	C	 - 
Q#104 - >WHL22.400986.1	superfamily	211475	4	326	4.02933e-180	504.49	cl16912	MDR superfamily	 - 	 - 
Q#105 - >WHL22.755821.2	superfamily	206934	15	172	4.44374e-18	76.4092	cl00253	Dtyr_deacylase superfamily	 - 	 - 
Q#106 - >WHL22.264310.0	superfamily	192987	549	643	2.28112e-21	90.7095	cl13724	TMF_TATA_bd superfamily	N	 - 
Q#106 - >WHL22.264310.0	superfamily	204884	97	166	6.15316e-07	47.6859	cl13726	TMF_DNA_bd superfamily	 - 	 - 
Q#106 - >WHL22.264310.0	superfamily	209413	292	438	0.00851858	36.8989	cl12013	BAR superfamily	N	 - 
Q#107 - >WHL22.256071.2	superfamily	210237	1	150	3.54277e-29	109.586	cl15837	alkPPc superfamily	C	 - 
Q#109 - >WHL22.470495.2	superfamily	211457	1	192	5.16915e-78	248.738	cl10012	DnaQ_like_exo superfamily	 - 	 - 
Q#110 - >WHL22.633124.0	superfamily	204302	35	167	3.70445e-43	150.67	cl16011	MCM_bind superfamily	 - 	 - 
Q#110 - >WHL22.633124.0	superfamily	205793	350	446	8.09454e-33	121.176	cl16322	Racemase_4 superfamily	 - 	 - 
Q#111 - >WHL22.136948.0	superfamily	212343	68	496	2.57382e-41	154.495	cl12078	CypX superfamily	 - 	 - 
Q#112 - >WHL22.250457.0	superfamily	208802	364	647	1.15043e-134	398.728	cl07974	DRE_TIM_metallolyase superfamily	 - 	 - 
Q#112 - >WHL22.250457.0	superfamily	208889	172	279	4.37504e-51	172.982	cl08365	Biotin_carb_C superfamily	 - 	 - 
Q#112 - >WHL22.250457.0	superfamily	207834	4	123	0.000369866	40.6944	cl03087	ATP-grasp_4 superfamily	N	 - 
Q#114 - >WHL22.228302.1	superfamily	207648	155	472	7.78823e-29	114.322	cl02567	WD40 superfamily	 - 	 - 
Q#115 - >WHL22.316234.0	superfamily	205643	79	104	3.92645e-05	38.5267	cl16282	zf-H2C2_2 superfamily	 - 	 - 
